servico,num_obs
386,248248
SN565,321
794,2537
817,120123
393,520912
SV606,1906
338,57854
SR394,440
SN624,148
SP766,40
SN550,74
254,52476
327,126168
463,160403
456,145781
638,1004813
SN302,184
955,1649
SN554,39
852,14
921,29
107,364867
2343,131032
2345,255846
104,140399
669,424815
951,111612
432,406854
SV363,795
513,49629
SN790,154
443,6693
2342,7
SV853,18
410,6
312,894790
355,851156
802,395372
606,1064581
864,1708812
881,238372
329,735313
SP803,1098
461,314851
SN848,4
866,1
473,263490
635,158268
804,346051
842,87249
379,55592
841,67716
833,30206
SR342,37
SR397,1424
409,224
SN133,193
665,1390847
803,1422649
LECD82,3250
2804,317765
645,239880
484,32292
892,85971
709,9302
440,2391
SR399,231
SN457,108
SPB550,123
SPA483,297
SP692,8
SN794,77
SN867,11
2309,46
954,773295
555,558052
862,982489
711,465433
498,55889
507,963791
394,382844
SN825,84
SV917,1103
SP810,129
950,534
SN298,40
SR328,207
292,659182
460,503665
771,344204
696,1027014
100,25582
2110,141409
210,74677
961,928
957,3184
LECD86,339
788,20
SN779,36
474,376823
624,1303228
SN840,210
779,475514
209,177853
010,45049
SN388,74
770,105
349,1
325,234669
2335,19788
426,1019832
378,575277
650,534370
2802,77911
SV624,2060
SVB901,597
2308,70334
783,141290
SV779,249
SN538,131
764,143
SN355,156
870,58
SN328,359
LECD80,104
SV384,177
486,85437
801,729482
SPA550,2424
2111,283989
790,683162
249,788460
306,655312
626,23084
821,157033
SN474,159
SN893,74
472,251699
371,1849560
917,1033199
476,349908
110,449664
2334,16708
830,84303
757,138
LECD72,61
SP485,204
868,131
SV777,58
2383,69
323,405119
313,564242
693,88894
611,418079
SN878,1106
990,454
SVA685,168
SR393,349
2381,92
835,35
796,27
845,5
613,1018911
298,868222
621,636663
554,534484
368,765209
928,287233
363,857348
232,888445
855,149932
SN880,401
893,113366
448,76645
2310,271357
SN309,475
987,65
SN954,94
SN731,2
899,8
SN433,4
628,506136
919,377709
878,1988875
300,397171
315,1120446
600,1451336
548,514295
108,206572
920,524739
LECD83,177
605,3875
848,366
SN803,87
SN006,103
2344,27
871,17973
634,767240
945,139631
869,100272
883,361136
610,286943
913,83951
910,254835
342,281497
433,1670
LECD75,5
311,18624
685,500619
395,15917
652,152742
362,538525
865,28427
SN399,35
SPB483,130
LECD84,46
SN209,27
808,47
SN238,40
SN884,4
328,874431
2303,408514
302,844880
2918,12507
953,11889
361,394592
309,1182890
829,60815
SP801,216
SN636,63
384,288011
926,581697
388,1023198
SVB685,2795
422,1876216
2112,37379
721,657436
444,2325
SN919,275
SN397,113
SVB665,285
731,56
LECD78,111
SN415,99
324,1220220
2114,284251
756,1205218
348,362301
861,693415
277,29459
112,473017
416,118568
805,104475
SN007,169
759,442
940,95
2336,24
275,56667
625,488752
895,113436
812,475949
326,758993
007,822760
217,304634
SR362,336
380,27227
SP404,274
LECD71,433
SV483,69
SN363,15
798,24
SN898,4
900,616708
922,57395
897,16058
840,330380
133,417517
105,6156
2337,36070
483,5759
435,1548
851,154260
SN497,205
SV774,123
SN861,346
LECD87,29
688,167295
390,1027039
369,339367
687,169207
399,565433
389,54392
247,1494888
859,140309
853,186470
831,90645
415,16666
SV878,965
629,327
583,94
LECD89,27
SV790,215
SP309,253
SP343,61
LECD74,127
SN821,23
837,3
746,798075
616,115358
679,320801
607,575672
778,298338
608,263378
822,88435
844,25560
SR378,802
SN232,20
SV831,211
LECD77,54
565,1577312
614,194139
553,11008
265,266514
636,1041778
622,541416
220,417144
639,1756654
692,735282
836,49769
885,152847
846,268618
834,4435
238,324529
SN324,180
SN600,846
SN685,516
SN634,168
765,107
350,269607
905,731082
712,452700
623,615261
321,525740
630,419811
819,94239
SN393,187
745,420702
SPA613,798
202,480485
201,156808
538,132338
752,19381
SN483,504
603,22513
SP852,12
843,9
LECD76,45
898,269
550,1683923
627,294809
117,777869
181,11724
SVA665,1056
651,135053
SV391,263
SN885,62
SP399,59
SP805,95
SR300,318
SP783,149
SN368,69
335,271753
SR386,109
439,43821
455,13301
908,356
SV335,197
539,338
849,187
SV692,92
LECD73,1
558,21941
880,772415
601,6934
838,666147
825,152148
847,104659
810,404133
352,26142
915,96631
385,11939
702,9931
2307,3428
492,1131
157,93
SN846,96
457,1115540
397,964808
2338,10105
901,203053
301,817891
584,145108
014,175643
SR384,183
LECD85,30
LECD79,8
863,1138669
2803,430010
906,356516
343,1174833
497,815355
663,10129
383,1008107
766,886937
936,209133
SN639,1321
793,452800
775,378691
552,173957
786,147973
SV669,602
753,730
SN104,241
SN629,130
341,545018
557,96558
678,132619
946,66282
774,1277
SP315,12